Region,Date Initial Stringency,Date Final Stringency,Change in Stringency,Change in Net Effects
ISL,ISL,2020-01-29 00:00:00,2020-03-15 00:00:00,8.329999999999998,0
ISL,ISL,2020-03-15 00:00:00,2020-03-16 00:00:00,25.93,894
ISL,ISL,2020-03-16 00:00:00,2020-03-20 00:00:00,2.770000000000003,928
ISL,ISL,2020-03-20 00:00:00,2020-05-04 00:00:00,-3.700000000000003,527
ISL,ISL,2020-05-04 00:00:00,2020-05-25 00:00:00,-10.189999999999998,-63
ISL,ISL,2020-05-25 00:00:00,2020-07-31 00:00:00,6.489999999999995,1
ISL,ISL,2020-07-31 00:00:00,2020-09-07 00:00:00,-8.339999999999996,70
ISL,ISL,2020-09-07 00:00:00,2020-10-05 00:00:00,2.780000000000001,416
ISL,ISL,2020-10-05 00:00:00,2020-10-20 00:00:00,6.479999999999997,362
ISL,ISL,2020-10-20 00:00:00,2020-10-31 00:00:00,5.560000000000002,-657
ISL,ISL,2020-10-31 00:00:00,2021-01-04 00:00:00,-2.780000000000001,-728
ISL,ISL,2021-01-04 00:00:00,2021-01-13 00:00:00,-5.560000000000002,-40
ISL,ISL,2021-01-13 00:00:00,2021-02-08 00:00:00,-3.6999999999999957,-126
ISL,ISL,2021-02-08 00:00:00,2021-03-25 00:00:00,24.999999999999993,-15
ISL,ISL,2021-03-25 00:00:00,2021-03-31 00:00:00,-8.329999999999998,-9
ISL,ISL,2021-03-31 00:00:00,2021-04-13 00:00:00,-10.189999999999998,2
ISL,ISL,2021-04-13 00:00:00,2021-04-22 00:00:00,2.780000000000001,74
SWE,SWE,2020-01-22 00:00:00,2020-03-09 00:00:00,11.11,1
SWE,SWE,2020-03-09 00:00:00,2020-03-12 00:00:00,11.11,4365
SWE,SWE,2020-03-12 00:00:00,2020-03-17 00:00:00,7.41,5636
SWE,SWE,2020-03-17 00:00:00,2020-03-19 00:00:00,8.330000000000002,7611
SWE,SWE,2020-03-19 00:00:00,2020-03-25 00:00:00,7.409999999999997,8809
SWE,SWE,2020-03-25 00:00:00,2020-03-29 00:00:00,8.330000000000005,10789
SWE,SWE,2020-03-29 00:00:00,2020-04-01 00:00:00,5.559999999999995,11976
SWE,SWE,2020-04-01 00:00:00,2020-04-04 00:00:00,5.550000000000004,12715
SWE,SWE,2020-04-04 00:00:00,2020-06-13 00:00:00,-5.550000000000004,13550
SWE,SWE,2020-06-13 00:00:00,2020-08-17 00:00:00,-3.6999999999999957,19503
SWE,SWE,2020-08-17 00:00:00,2020-11-10 00:00:00,2.769999999999996,3952
SWE,SWE,2020-11-10 00:00:00,2020-11-24 00:00:00,6.480000000000004,99177
SWE,SWE,2020-11-24 00:00:00,2020-12-07 00:00:00,1.8599999999999994,116577
SWE,SWE,2020-12-07 00:00:00,2020-12-14 00:00:00,2.769999999999996,118348
SWE,SWE,2020-12-14 00:00:00,2021-04-01 00:00:00,-3.700000000000003,118494
SGP,SGP,2020-01-22 00:00:00,2020-01-23 00:00:00,5.559999999999999,35
SGP,SGP,2020-01-23 00:00:00,2020-02-07 00:00:00,5.559999999999999,42
SGP,SGP,2020-02-07 00:00:00,2020-03-13 00:00:00,5.550000000000001,1
SGP,SGP,2020-03-13 00:00:00,2020-04-03 00:00:00,9.259999999999998,734
SGP,SGP,2020-04-03 00:00:00,2020-04-07 00:00:00,11.11,10294
SGP,SGP,2020-04-07 00:00:00,2020-04-08 00:00:00,20.369999999999997,12727
SGP,SGP,2020-04-08 00:00:00,2020-05-12 00:00:00,-3.6999999999999886,13244
SGP,SGP,2020-05-12 00:00:00,2020-06-02 00:00:00,-7.410000000000011,-8156
SGP,SGP,2020-06-02 00:00:00,2020-06-19 00:00:00,-14.809999999999995,-6222
SGP,SGP,2020-06-19 00:00:00,2020-10-01 00:00:00,-5.560000000000002,-4322
SGP,SGP,2020-10-01 00:00:00,2020-12-14 00:00:00,5.560000000000002,-159
SGP,SGP,2020-12-14 00:00:00,2020-12-28 00:00:00,-5.560000000000002,109
SGP,SGP,2020-12-28 00:00:00,2021-01-15 00:00:00,5.560000000000002,116
SGP,SGP,2021-01-15 00:00:00,2021-05-04 00:00:00,1.8500000000000014,-12
NLD,NLD,2020-01-22 00:00:00,2020-02-27 00:00:00,5.56,0
NLD,NLD,2020-02-27 00:00:00,2020-03-06 00:00:00,5.55,2543
NLD,NLD,2020-03-06 00:00:00,2020-03-10 00:00:00,9.719999999999999,9062
NLD,NLD,2020-03-10 00:00:00,2020-03-12 00:00:00,24.54,13318
NLD,NLD,2020-03-12 00:00:00,2020-03-13 00:00:00,8.330000000000005,15611
NLD,NLD,2020-03-13 00:00:00,2020-03-16 00:00:00,7.409999999999997,16485
NLD,NLD,2020-03-16 00:00:00,2020-03-23 00:00:00,17.590000000000003,19352
NLD,NLD,2020-03-23 00:00:00,2020-05-11 00:00:00,-7.400000000000006,24520
NLD,NLD,2020-05-11 00:00:00,2020-06-01 00:00:00,-8.339999999999996,4238
NLD,NLD,2020-06-01 00:00:00,2020-06-15 00:00:00,-3.700000000000003,3238
NLD,NLD,2020-06-15 00:00:00,2020-07-01 00:00:00,-19.449999999999996,1777
NLD,NLD,2020-07-01 00:00:00,2020-08-18 00:00:00,11.119999999999997,1946
NLD,NLD,2020-08-18 00:00:00,2020-09-20 00:00:00,-2.780000000000001,13067
NLD,NLD,2020-09-20 00:00:00,2020-09-29 00:00:00,13.89,80446
NLD,NLD,2020-09-29 00:00:00,2020-11-04 00:00:00,3.6999999999999957,126814
NLD,NLD,2020-11-04 00:00:00,2020-11-22 00:00:00,-9.259999999999998,117118
NLD,NLD,2020-11-22 00:00:00,2020-12-15 00:00:00,14.82,131211
NLD,NLD,2020-12-15 00:00:00,2020-12-16 00:00:00,7.400000000000006,206644
NLD,NLD,2020-12-16 00:00:00,2021-01-23 00:00:00,3.7099999999999937,202600
